排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,風險等級,交易訊號,信心度,倉位建議,持有期間,EPS,ROE,本益比,負債比,核心論點,主要優勢,主要風險
115,3526,凡甲,$253.50,69.3,B+,47,80,低,HOLD,42%,小額試單5-10%,中長期持有 (3-6個月),16.04,38.3%,15.8,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
116,4760,勤凱,$169.50,69.2,B+,58,60,低,HOLD,58%,小額試單5-10%,中長期持有 (3-6個月),5.44,20.0%,31.2,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
117,1268,漢來美食,$160.50,69.0,B+,56,77,低,HOLD,46%,小額試單5-10%,中長期持有 (3-6個月),9.92,19.4%,16.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
118,6721,信實,$62.80,68.9,B+,73,54,低,BUY,83%,小額試單5-10%,中長期持有 (3-6個月),4.81,18.4%,13.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,成交量萎縮 - 流動性風險
119,6923,中台,$110.00,68.8,B+,57,65,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),3.58,15.2%,30.7,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
120,3293,鈊象,$800.00,68.8,B+,48,82,低,HOLD,43%,小額試單5-10%,不建議進場,34.39,79.4%,23.3,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
121,8279,生展,$125.50,68.8,B+,60,61,低,HOLD,55%,小額試單5-10%,中長期持有 (3-6個月),10.29,12.8%,12.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
122,6290,良維,$132.00,68.7,B+,57,53,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),6.38,16.6%,20.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
123,2881B,富邦金乙特,$62.00,68.7,B+,59,62,低,HOLD,49%,小額試單5-10%,中長期持有 (3-6個月),11.92,13.6%,5.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
124,4173,久裕,$25.15,68.6,B+,70,47,低,BUY,70%,小額試單5-10%,中長期持有 (3-6個月),1.48,5.8%,17.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
125,1475,業旺,$34.15,68.6,B+,49,75,低,HOLD,44%,小額試單5-10%,中長期持有 (3-6個月),3.10,14.9%,11.0,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
126,00920,富邦ESG綠色電力,$16.33,68.5,B+,100,0,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),N/A,N/A,N/A,N/A,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
127,5607,遠雄港,$50.90,68.5,B+,57,64,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),2.37,8.5%,21.5,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
128,7584,樂意,$55.70,68.5,B+,52,69,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),2.83,10.4%,19.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
129,8467,波力-KY,$176.00,68.5,B+,51,87,低,HOLD,46%,小額試單5-10%,不建議進場,12.32,25.8%,14.3,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
130,6491,晶碩,$317.00,68.5,B+,60,70,低,HOLD,55%,小額試單5-10%,中長期持有 (3-6個月),20.88,15.8%,15.2,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
131,00703,台新MSCI中國,$23.10,68.5,B+,100,0,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),N/A,N/A,N/A,N/A,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
132,1532,勤美,$27.45,68.4,B+,83,39,中,BUY,68%,可配置10-20%資金,短中期持有 (1-3個月),-0.71,-0.7%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
133,6568,宏觀,$130.00,68.0,B+,74,38,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),3.16,6.8%,41.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 41.1 - 估值風險
134,3029,零壹,$124.50,67.9,B+,57,62,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),5.87,20.1%,21.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
135,8404,百和興業-KY,$25.85,67.8,B+,57,55,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),1.11,7.5%,23.3,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
136,2834,臺企銀,$15.85,67.8,B+,77,35,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),1.17,8.7%,13.5,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
137,3680,家登,$341.00,67.8,B+,62,60,低,HOLD,57%,小額試單5-10%,不建議進場,9.60,9.8%,35.5,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
138,2903,遠百,$22.25,67.7,B+,70,44,低,BUY,65%,小額試單5-10%,中長期持有 (3-6個月),1.48,7.2%,15.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
139,8342,益張,$85.20,67.7,B+,52,78,低,HOLD,47%,小額試單5-10%,中長期持有 (3-6個月),5.98,21.2%,14.2,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
140,3290,東浦,$40.40,67.7,B+,62,48,低,HOLD,62%,小額試單5-10%,中長期持有 (3-6個月),1.93,8.9%,20.9,0.0%,綜合評估一般，需要更多催化劑,風險控制良好 | 短期動能強勁,風險可控
141,1799,易威,$52.90,67.7,B+,64,57,中,HOLD,59%,可配置10-20%資金,不建議進場,-0.62,-9.0%,0.0,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,虧損中 - 營運風險
142,2762,世界健身-KY,$79.60,67.6,B+,69,40,低,HOLD,64%,小額試單5-10%,中長期持有 (3-6個月),2.77,8.2%,28.7,0.0%,綜合評估一般，需要更多催化劑,風險控制良好 | 短期動能強勁,風險可控
143,6669,緯穎,$3315.00,67.6,B+,49,60,低,HOLD,49%,小額試單5-10%,中長期持有 (3-6個月),182.70,51.5%,18.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
144,00665L,富邦恒生國企正2,$12.81,67.6,B+,94,0,低,BUY,94%,小額試單5-10%,中長期持有 (3-6個月),N/A,N/A,N/A,N/A,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
145,6937,天虹,$259.50,67.5,B+,57,64,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),4.39,9.1%,59.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,高本益比 59.1 - 估值風險
146,3709,鑫聯大投控,$43.00,67.5,B+,51,57,低,HOLD,46%,小額試單5-10%,中長期持有 (3-6個月),3.93,16.9%,10.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
147,3511,矽瑪,$22.60,67.5,B+,100,20,中,BUY,95%,可配置10-20%資金,短中期持有 (1-3個月),-0.85,-5.3%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
148,3036,文曄,$139.50,67.2,B+,54,57,低,HOLD,49%,小額試單5-10%,中長期持有 (3-6個月),9.47,12.3%,14.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
149,1560,中砂,$342.50,67.2,B+,62,63,低,HOLD,62%,小額試單5-10%,中長期持有 (3-6個月),7.22,15.6%,47.4,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,高本益比 47.4 - 估值風險
150,6955,邦睿生技-創,$170.00,67.2,B+,65,69,中,HOLD,55%,可配置10-20%資金,不建議進場,3.52,19.0%,48.3,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,成交量萎縮 - 流動性風險 | 高本益比 48.3 - 估值風險
151,6115,鎰勝,$48.25,67.2,B+,59,57,低,HOLD,49%,小額試單5-10%,中長期持有 (3-6個月),2.71,10.5%,17.8,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
152,2887Z1,台新新光己特,$16.15,67.2,B+,68,45,低,HOLD,58%,小額試單5-10%,中長期持有 (3-6個月),0.00,9.1%,0.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
153,2897B,王道銀乙特,$11.95,66.9,B+,80,28,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),0.00,6.5%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
154,3205,佰研,$55.00,66.9,B+,94,31,中,BUY,84%,可配置10-20%資金,短中期持有 (1-3個月),-1.48,-6.8%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 短期動能強勁,成交量萎縮 - 流動性風險 | 虧損中 - 營運風險
155,1712,興農,$43.90,66.9,B+,71,40,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),2.65,14.0%,16.6,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
156,5315,光聯,$22.85,66.8,B+,68,37,低,HOLD,63%,小額試單5-10%,中長期持有 (3-6個月),1.60,10.7%,14.3,0.0%,綜合評估一般，需要更多催化劑,風險控制良好 | 短期動能強勁,風險可控
157,6944,兆聯實業,$538.00,66.8,B+,52,70,低,HOLD,47%,小額試單5-10%,不建議進場,24.52,34.7%,21.9,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
158,6435,大中,$106.50,66.8,B+,56,53,低,HOLD,51%,小額試單5-10%,中長期持有 (3-6個月),6.44,14.1%,16.5,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
159,8429,金麗-KY,$8.17,66.8,B+,97,15,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),0.08,0.2%,102.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 102.1 - 估值風險
160,3555,博士旺,$72.50,66.8,B+,85,26,中,BUY,95%,可配置10-20%資金,短中期持有 (1-3個月),-0.25,-5.3%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
161,1786,科妍,$103.50,66.7,B+,55,64,低,HOLD,50%,小額試單5-10%,中長期持有 (3-6個月),2.20,9.6%,47.0,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,高本益比 47.0 - 估值風險
162,2061,風青,$19.75,66.7,B+,69,47,中,HOLD,69%,可配置10-20%資金,不建議進場,-2.02,-19.2%,0.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好 | 短期動能強勁,虧損中 - 營運風險
163,1215,卜蜂,$138.00,66.6,B+,59,55,低,HOLD,54%,小額試單5-10%,中長期持有 (3-6個月),8.97,25.2%,15.4,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
164,8401,白紗科,$28.75,66.6,B+,53,63,低,HOLD,43%,小額試單5-10%,中長期持有 (3-6個月),2.47,16.5%,11.6,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
165,1737,臺鹽,$32.25,66.5,B+,67,44,低,HOLD,62%,小額試單5-10%,中長期持有 (3-6個月),1.75,5.0%,18.4,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
166,3356,奇偶,$52.80,66.5,B+,67,44,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),2.21,8.5%,23.9,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
167,00678,群益那斯達克生技,$29.71,66.5,B+,100,0,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),N/A,N/A,N/A,N/A,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
168,5478,智冠,$107.00,66.4,B+,51,65,低,HOLD,41%,小額試單5-10%,中長期持有 (3-6個月),7.38,11.6%,14.5,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
169,00899,FT潔淨能源,$18.76,66.4,B+,91,0,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),N/A,N/A,N/A,N/A,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
170,5287,數字,$178.50,66.3,B+,47,75,低,HOLD,42%,小額試單5-10%,不建議進場,12.76,34.5%,14.0,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
171,2838,聯邦銀,$18.15,66.3,B+,77,30,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),1.06,6.5%,17.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
172,3653,健策,$2470.00,66.2,B+,47,68,低,HOLD,42%,小額試單5-10%,中長期持有 (3-6個月),30.29,31.0%,81.5,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,高本益比 81.5 - 估值風險
173,2221,大甲,$28.55,66.2,B+,64,47,低,HOLD,54%,小額試單5-10%,中長期持有 (3-6個月),2.62,11.0%,10.9,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
174,6284,佳邦,$74.70,66.1,B+,49,60,低,HOLD,49%,小額試單5-10%,中長期持有 (3-6個月),4.28,9.3%,17.5,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
175,4951,精拓科,$74.90,66.1,B+,51,79,低,HOLD,46%,小額試單5-10%,不建議進場,4.49,18.0%,16.7,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
176,2937,集雅社,$43.80,65.9,B+,52,62,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),3.80,17.5%,11.5,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
177,1325,恆大,$30.70,65.9,B+,91,20,中,BUY,95%,可配置10-20%資金,短中期持有 (1-3個月),-1.29,-4.6%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
178,4746,台耀,$68.40,65.9,B+,66,55,中,HOLD,61%,可配置10-20%資金,不建議進場,-0.51,-1.2%,0.0,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,虧損中 - 營運風險
179,2524,京城,$45.90,65.8,B+,43,82,低,HOLD,38%,小額試單5-10%,中長期持有 (3-6個月),7.69,14.5%,6.0,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,成交量萎縮 - 流動性風險
180,6236,中湛,$30.80,65.8,B+,64,44,低,HOLD,64%,小額試單5-10%,中長期持有 (3-6個月),0.01,0.3%,3080.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好 | 短期動能強勁,高本益比 3080.0 - 估值風險
181,2816,旺旺保,$26.80,65.7,B+,68,40,低,HOLD,58%,小額試單5-10%,中長期持有 (3-6個月),3.77,10.6%,7.1,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
182,1466,聚隆,$17.45,65.7,B+,74,42,中,BUY,64%,可配置10-20%資金,短中期持有 (1-3個月),-0.10,-0.4%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
183,1789,神隆,$19.60,65.7,B+,72,38,低,BUY,92%,小額試單5-10%,中長期持有 (3-6個月),0.26,2.0%,75.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 75.4 - 估值風險
184,2904,匯僑,$17.50,65.6,B+,49,65,低,HOLD,39%,小額試單5-10%,中長期持有 (3-6個月),1.32,8.3%,13.3,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
185,1294,漢田生技,$79.70,65.5,B+,42,79,低,HOLD,37%,小額試單5-10%,不建議進場,4.82,22.8%,16.5,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
186,6716,應廣,$52.00,65.5,B+,55,50,低,HOLD,55%,小額試單5-10%,中長期持有 (3-6個月),1.46,6.2%,35.6,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
187,6997,博弘,$103.00,65.4,B+,68,39,低,HOLD,63%,小額試單5-10%,中長期持有 (3-6個月),4.54,21.7%,22.7,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
188,00700,富邦恒生國企,$19.23,65.3,B+,97,0,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),N/A,N/A,N/A,N/A,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
189,8066,來思達,$22.20,65.2,B+,83,35,中,BUY,93%,可配置10-20%資金,短中期持有 (1-3個月),-1.48,-4.6%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
190,2211,長榮鋼,$96.50,65.2,B+,51,61,低,HOLD,46%,小額試單5-10%,中長期持有 (3-6個月),7.53,12.3%,12.8,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
191,5321,美而快,$42.65,65.2,B+,78,35,低,BUY,88%,小額試單5-10%,中長期持有 (3-6個月),0.83,9.4%,51.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,高本益比 51.4 - 估值風險
192,6875,國邑*,$49.20,65.2,B+,83,30,中,BUY,83%,可配置10-20%資金,短中期持有 (1-3個月),-2.18,-15.2%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
193,3131,弘塑,$1505.00,65.2,B+,54,72,低,HOLD,54%,小額試單5-10%,不建議進場,31.78,21.7%,47.4,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,高本益比 47.4 - 估值風險
194,6158,禾昌,$24.30,65.1,B+,68,38,低,HOLD,63%,小額試單5-10%,中長期持有 (3-6個月),1.20,6.1%,20.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
195,2449,京元電子,$167.50,65.0,B+,55,55,低,HOLD,50%,小額試單5-10%,中長期持有 (3-6個月),4.94,14.3%,33.9,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
196,4772,台特化,$329.00,65.0,B+,47,69,低,HOLD,47%,小額試單5-10%,中長期持有 (3-6個月),3.10,18.2%,106.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,高本益比 106.1 - 估值風險
197,1101,台泥,$23.75,65.0,B+,70,45,低,BUY,70%,小額試單5-10%,中長期持有 (3-6個月),0.98,4.0%,24.2,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,成交量萎縮 - 流動性風險
198,5475,德宏,$68.60,65.0,B+,79,28,中,BUY,79%,可配置10-20%資金,短中期持有 (1-3個月),-0.98,-15.4%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
199,2751,王座,$75.00,65.0,B+,52,69,低,HOLD,47%,小額試單5-10%,中長期持有 (3-6個月),4.37,25.4%,17.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,成交量萎縮 - 流動性風險
200,9949,琉園,$22.30,64.9,B+,72,37,中,BUY,62%,可配置10-20%資金,短中期持有 (1-3個月),-2.00,-28.1%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
